Date,AllMedia_Headline,Description,Source_Name,Source_Bias,Source_Headline,Source_Link
"December 11th, 2018",b'Trump Pushes For Border Wall Prior To Meeting With Top Democrats',President Trump suggests that he may utilize the military to build the border wall ahead of a meeting with Chuck Schumer and Nancy Pelosi.,Reuters,Center ,b'Trump presses border wall ahead of meeting with top Democrats',https://www.reuters.com/article/us-usa-trump-congress/trump-presses-border-wall-ahead-of-meeting-with-top-democrats-idUSKBN1OA1CF
"December 11th, 2018",b'Trump Pushes For Border Wall Prior To Meeting With Top Democrats',President Trump suggests that he may utilize the military to build the border wall ahead of a meeting with Chuck Schumer and Nancy Pelosi.,Politico,Left ,"b""Trump insists border wall 'will get built' ahead of meeting with Dem leaders""",https://www.politico.com/story/2018/12/11/trump-border-wall-congress-budget-1055433
"November 30th, 2018",b'Federal Judge Rules Against Trump Administration in Lawsuit Over Sanctuary City Funding',A federal judge has ruled against the Trump administration's executive order that withheld grant funding from law enforcement in sanctuary cities.,New York Post,Right ,b'Trump sanctuary cities policies hit with another setback',https://nypost.com/2018/11/30/trump-sanctuary-cities-policies-hit-with-another-setback/
"November 30th, 2018",b'Federal Judge Rules Against Trump Administration in Lawsuit Over Sanctuary City Funding',A federal judge has ruled against the Trump administration's executive order that withheld grant funding from law enforcement in sanctuary cities.,The Hill,Center ,b'Federal judge in New York rules against Trump in sanctuary cities case',https://thehill.com/regulation/court-battles/419146-judge-sides-with-sanctuary-cities-over-trump
"November 30th, 2018",b'Federal Judge Rules Against Trump Administration in Lawsuit Over Sanctuary City Funding',A federal judge has ruled against the Trump administration's executive order that withheld grant funding from law enforcement in sanctuary cities.,Splinter,Left ,b'Trump Loses Another Court Battle Over Sanctuary Cities',https://splinternews.com/trump-loses-another-court-battle-over-sanctuary-cities-1830775931
"November 26th, 2018",b'Trump Threatens to Close the U S Mexico Border Permanently Amid Increasing Tensions',President Trump threatened to permanently shut down the U.S.-Mexico border while urging Mexico to deport migrants seeking to enter the United States.,The Hill,Center ,"b""Trump threatens to 'close the border permanently' amid heightened tensions""",https://thehill.com/homenews/administration/418184-trump-threatens-to-permanently-close-border-amid-escalating-tensions
"November 26th, 2018",b'Trump Threatens to Close the U S Mexico Border Permanently Amid Increasing Tensions',President Trump threatened to permanently shut down the U.S.-Mexico border while urging Mexico to deport migrants seeking to enter the United States.,CNN (Web News),Left ,b'Trump seizes on border unrest ahead of perilous month',https://www.cnn.com/2018/11/26/politics/donald-trump-robert-mueller-democrats-congress-g20-december/index.html
"November 26th, 2018",b'Trump Threatens to Close the U S Mexico Border Permanently Amid Increasing Tensions',President Trump threatened to permanently shut down the U.S.-Mexico border while urging Mexico to deport migrants seeking to enter the United States.,Fox News (Online),Right ,b'Trump tells Mexico to ship migrants home or see border permanently closed',https://www.foxnews.com/politics/trump-tells-mexico-to-ship-migrants-home-or-see-border-permanently-closed
"November 25th, 2018",b'Mexico Officials Deny Claim that a US Border Deal has Been Reached',Mexico's incoming foreign minister has said a deal has not been reached and there is still discussion on how to deal with migrants traveling to the United States. This claim contradicts President Donald Trump's latest tweets where he said migrants would not be allowed entry until their claims were approved.,BBC News,Center ,b'Migrant caravan: Mexican officials deny US border deal',https://www.bbc.com/news/world-us-canada-46333119
"November 25th, 2018",b'Mexico Officials Deny Claim that a US Border Deal has Been Reached',Mexico's incoming foreign minister has said a deal has not been reached and there is still discussion on how to deal with migrants traveling to the United States. This claim contradicts President Donald Trump's latest tweets where he said migrants would not be allowed entry until their claims were approved.,HuffPost,Left ,"b'Contradicting Trump, Incoming Mexico Gov\xe2\x80\x99t Denies Making Deal To Host Asylum Seekers'",https://www.huffingtonpost.com/entry/mexico-asylum-migrant-deal-trump_us_5bfa5d83e4b0eb6d930f3155
"November 25th, 2018",b'Mexico Officials Deny Claim that a US Border Deal has Been Reached',Mexico's incoming foreign minister has said a deal has not been reached and there is still discussion on how to deal with migrants traveling to the United States. This claim contradicts President Donald Trump's latest tweets where he said migrants would not be allowed entry until their claims were approved.,Fox News (Online),Right ,"b'Mexico denies deal with White House on migrants, as Trump threatens to close entire border'",https://www.foxnews.com/politics/mexico-denies-deal-with-white-house-on-migrants-as-trump-threatens-to-close-entire-border
"November 23rd, 2018",b'Migrants Wait To Cross US Mexico Border',"As migrants wait to cross at the US-Mexico border, tensions rise and questions rise over asylum claims.",Reuters,Center ,"b'Tensions rise at U.S.-Mexico border as migrants, holiday travelers wait to cross'",https://www.reuters.com/article/us-usa-immigration-caravan/tensions-rise-at-u-s-mexico-border-as-migrants-holiday-travelers-wait-to-cross-idUSKCN1NS01A
"November 23rd, 2018",b'Migrants Wait To Cross US Mexico Border',"As migrants wait to cross at the US-Mexico border, tensions rise and questions rise over asylum claims.",Los Angeles Times,Left ,b'Why and how are asylum seekers entering the U.S.?',https://www.latimes.com/world/la-fg-asylum-seekers-qa-20181122-story.html
"November 23rd, 2018",b'Migrants Wait To Cross US Mexico Border',"As migrants wait to cross at the US-Mexico border, tensions rise and questions rise over asylum claims.",Fox News (Online),Right ,"b'Small group breaks from caravan, within 500 feet of US border, report says'",https://www.foxnews.com/us/small-group-breaks-from-caravan-within-500-feet-of-us-border-report-says
"November 20th, 2018",b'Judge Rules Asylum Claims Must Be Accepted',"Judge Jon S. Tigar of the United States District Court in San Francisco issued a temporary restraining order stating that asylum seekers can make claims at any point along the U.S. border, not just at certain points, which the White House had previously announced.",Townhall,Right ,b'A Judge Just Ruled Asylum Claims Must Be Accepted Anywhere Along Border',https://townhall.com/tipsheet/cortneyobrien/2018/11/20/judge-asylum-n2536253
"November 20th, 2018",b'Judge Rules Asylum Claims Must Be Accepted',"Judge Jon S. Tigar of the United States District Court in San Francisco issued a temporary restraining order stating that asylum seekers can make claims at any point along the U.S. border, not just at certain points, which the White House had previously announced.",New York Times (Online News),Left ,b'Federal Judge Blocks Trump\xe2\x80\x99s Proclamation Targeting Some Asylum Seekers',https://www.nytimes.com/2018/11/20/us/judge-denies-trump-asylum-policy.html
"November 20th, 2018",b'Judge Rules Asylum Claims Must Be Accepted',"Judge Jon S. Tigar of the United States District Court in San Francisco issued a temporary restraining order stating that asylum seekers can make claims at any point along the U.S. border, not just at certain points, which the White House had previously announced.",USA TODAY,Center ,"b""Federal judge blocks Trump's new asylum rules: 'He may not rewrite the immigration laws'""",https://www.usatoday.com/story/news/world/2018/11/19/federal-judge-blocks-trumps-new-asylum-rules-migrant-caravan/2060994002/
"November 2nd, 2018",b'Trump s Controversial Immigration Ad Incorrectly Blames Democrats for Illegal Immigrant s Rampage',"President Trump's new midterms ad on immigration sparked controversy this week over allegations of racism, with many pointing out it incorrectly blames Democrats for allowing Luis Bracamontes, an undocumented immigrant who was eventually convicted of murdering two sheriff's deputies, back into the country. He was readmitted to the U.S. while President George W. Bush was in office. Some have also said that Democrats are too eager to push back on Trump's immigration rhetoric, and by doing so, they reinforce the misconception that the party wants open borders.",CNN (Web News),Left ,b'Trump shocks with racist new ad days before midterms',https://www.cnn.com/2018/10/31/politics/donald-trump-immigration-paul-ryan-midterms/index.html
"November 2nd, 2018",b'Trump s Controversial Immigration Ad Incorrectly Blames Democrats for Illegal Immigrant s Rampage',"President Trump's new midterms ad on immigration sparked controversy this week over allegations of racism, with many pointing out it incorrectly blames Democrats for allowing Luis Bracamontes, an undocumented immigrant who was eventually convicted of murdering two sheriff's deputies, back into the country. He was readmitted to the U.S. while President George W. Bush was in office. Some have also said that Democrats are too eager to push back on Trump's immigration rhetoric, and by doing so, they reinforce the misconception that the party wants open borders.",The Hill,Center ,"b""Cop-killer in Trump's campaign ad came back to the US under Bush""",https://thehill.com/homenews/campaign/414380-cop-killer-in-trumps-new-ad-actually-came-back-to-the-us-under-bush
"November 2nd, 2018",b'Trump s Controversial Immigration Ad Incorrectly Blames Democrats for Illegal Immigrant s Rampage',"President Trump's new midterms ad on immigration sparked controversy this week over allegations of racism, with many pointing out it incorrectly blames Democrats for allowing Luis Bracamontes, an undocumented immigrant who was eventually convicted of murdering two sheriff's deputies, back into the country. He was readmitted to the U.S. while President George W. Bush was in office. Some have also said that Democrats are too eager to push back on Trump's immigration rhetoric, and by doing so, they reinforce the misconception that the party wants open borders.",Washington Examiner,Right ,b'Democrats take the immigration bait',https://www.washingtonexaminer.com/opinion/democrats-take-the-immigration-bait
"November 1st, 2018",b'Trump Says Up to 15 000 Troops Will Go to Border Ahead of Migrant Caravan',"President Trump said he will send up to 15,000 troops to the southern border ahead of the migrant caravan making its way to the U.S. through Mexico. The Pentagon had previously announced that 5,200 active duty troops would be deployed in addition to 2,100 National Guardsmen.",Wall Street Journal - News,Center ,"b'Trump Calls for Up to 15,000 Troops at Border as Election Nears'",https://www.wsj.com/articles/mattis-defends-troop-deployment-to-mexican-border-1541015382
"November 1st, 2018",b'Trump Says Up to 15 000 Troops Will Go to Border Ahead of Migrant Caravan',"President Trump said he will send up to 15,000 troops to the southern border ahead of the migrant caravan making its way to the U.S. through Mexico. The Pentagon had previously announced that 5,200 active duty troops would be deployed in addition to 2,100 National Guardsmen.",National Review,Right ,"b'Trump Says Border Troops Could Reach 15,000, Catching Pentagon Off Guard'",https://www.nationalreview.com/news/donald-trump-border-troops-could-reach-15000/
"November 1st, 2018",b'Trump Says Up to 15 000 Troops Will Go to Border Ahead of Migrant Caravan',"President Trump said he will send up to 15,000 troops to the southern border ahead of the migrant caravan making its way to the U.S. through Mexico. The Pentagon had previously announced that 5,200 active duty troops would be deployed in addition to 2,100 National Guardsmen.",NBC News (Online),Left ,"b'Trump says he could send as many as 15,000 troops to the border'",https://www.nbcnews.com/politics/white-house/trump-says-he-could-send-many-15-000-troops-border-n929446
"October 30th, 2018",b'Trump Considering Executive Order To End Birthright Citizenship',President Trump says the law offering citizenship to babies of non-citizens needs to end and is considering an Executive order that would remove that right.,HuffPost,Left ,b'Trump Wants To Order End To Birthright Citizenship',https://www.huffingtonpost.com/entry/trump-executive-order-end-birthright-citizenship_us_5bd82b10e4b07427610ae4f4
"October 30th, 2018",b'Trump Considering Executive Order To End Birthright Citizenship',President Trump says the law offering citizenship to babies of non-citizens needs to end and is considering an Executive order that would remove that right.,Guest Writer - Right,Right ,b'OPINION: Ending Birthright Citizenship Is No Panacea',https://www.nationalreview.com/corner/ending-birthright-citizenship-donald-trumps-immigration-plan/
"October 30th, 2018",b'Trump Considering Executive Order To End Birthright Citizenship',President Trump says the law offering citizenship to babies of non-citizens needs to end and is considering an Executive order that would remove that right.,Axios,Center ,b'Trump targeting birthright citizenship with executive order',https://www.axios.com/trump-birthright-citizenship-executive-order-0cf4285a-16c6-48f2-a933-bd71fd72ea82.html
"October 27th, 2018",b'Border Security Heightened Awaiting Migrant Caravan',"With already 2,100 National Guardsmen spread across the southern border, another 1,000 troops have been approved to be sent as well. The Trump administration has said that they are doing everything it can to ensure that members of the migrant caravan do not enter the United States illegally.",National Review,Right ,b'Congress Must Act to Deter Future Caravans',https://www.nationalreview.com/2018/10/central-american-caravan-illegal-immigration-congress-national-sovereignty/
"October 27th, 2018",b'Border Security Heightened Awaiting Migrant Caravan',"With already 2,100 National Guardsmen spread across the southern border, another 1,000 troops have been approved to be sent as well. The Trump administration has said that they are doing everything it can to ensure that members of the migrant caravan do not enter the United States illegally.",Wall Street Journal - News,Center ,b'Defense Secretary Approves Sending More Troops to Mexican Border',https://www.wsj.com/articles/mattis-approves-sending-more-troop-to-mexican-border-1540566532
"October 27th, 2018",b'Border Security Heightened Awaiting Migrant Caravan',"With already 2,100 National Guardsmen spread across the southern border, another 1,000 troops have been approved to be sent as well. The Trump administration has said that they are doing everything it can to ensure that members of the migrant caravan do not enter the United States illegally.",Vanity Fair,Left ,b'TRUMP WORRIED MIGRANT CARAVAN IS NOT DOING ENOUGH TO RILE UP THE BASE BEFORE THE MIDTERMS',https://www.vanityfair.com/news/2018/10/trump-caravan-border
"October 26th, 2018",b'Trump Is Considering A New Travel Ban',The Trump Administration is considering an executive order that would prevent people traveling in the migrant caravan from entering the United States.,Vox,Left ,b'Trump is considering a new \xe2\x80\x9ctravel ban\xe2\x80\x9d aimed at the migrant caravan',https://www.vox.com/2018/10/26/18025768/trump-migrant-caravan-ban-asylum
"October 26th, 2018",b'Trump Is Considering A New Travel Ban',The Trump Administration is considering an executive order that would prevent people traveling in the migrant caravan from entering the United States.,Fox News (Online),Right ,b'Trump mulls plan to bar entry of all migrants at US-Mexico border',https://www.foxnews.com/politics/trump-mulls-plan-to-bar-entry-of-all-migrants-at-us-mexico-border
"October 26th, 2018",b'Trump Is Considering A New Travel Ban',The Trump Administration is considering an executive order that would prevent people traveling in the migrant caravan from entering the United States.,Bloomberg,Center ,"b'Trump Considering Travel-Ban-Style Order to Bar Migrants, Source Says'",https://www.bloomberg.com/news/articles/2018-10-26/trump-is-said-to-consider-travel-ban-style-order-to-bar-migrants
"October 25th, 2018",b'Trump Administration to Send 800 Troops to U S Mexico Border Ahead of Migrant Caravan',The Trump administration is set to deploy at least 800 troops to the southern border ahead of the migrant caravan with thousands of Central Americans headed towards the U.S. through Mexico.,Associated Press,Center ,"b'Trump sends troops to border, pushing an issue key to base'",https://www.apnews.com/e7ffd2d5764244cdb1d1474bd895a863
"October 25th, 2018",b'Trump Administration to Send 800 Troops to U S Mexico Border Ahead of Migrant Caravan',The Trump administration is set to deploy at least 800 troops to the southern border ahead of the migrant caravan with thousands of Central Americans headed towards the U.S. through Mexico.,Washington Post,Left ,b'Migrant caravan: Mattis is preparing for a humanitarian crisis at the border \xe2\x80\x94 not an invasion',https://www.washingtonpost.com/world/2018/10/24/migrant-caravan-updates/
"October 25th, 2018",b'Trump Administration to Send 800 Troops to U S Mexico Border Ahead of Migrant Caravan',The Trump administration is set to deploy at least 800 troops to the southern border ahead of the migrant caravan with thousands of Central Americans headed towards the U.S. through Mexico.,Washington Times,Right ,b'Pentagon to send active-duty troops to U.S.-Mexico border',https://www.washingtontimes.com/news/2018/oct/25/pentagon-deploy-more-troops-us-mexico-border/
"October 22nd, 2018",b'Trump Says He Will Eliminate or Substantially Reduce Aid to Central American Countries Over Migrant Caravan',"President Trump said he will eliminate or ""substantially reduce"" aid to Guatemala, Honduras, and El Salvador over the migrant caravan that illegally crossed the Mexico border and is headed for the U.S. He has also blamed Democrats for not cooperating with his efforts to tighten immigration law.",ABC News (Online),Left ,"b""Trump asserts migrant caravan headed to US includes 'unknown Middle Easterners,' offers no evidence""",https://abcnews.go.com/International/trump-asserts-migrant-caravan-headed-us-includes-middle/story
"October 22nd, 2018",b'Trump Says He Will Eliminate or Substantially Reduce Aid to Central American Countries Over Migrant Caravan',"President Trump said he will eliminate or ""substantially reduce"" aid to Guatemala, Honduras, and El Salvador over the migrant caravan that illegally crossed the Mexico border and is headed for the U.S. He has also blamed Democrats for not cooperating with his efforts to tighten immigration law.",Washington Times,Right ,"b'Migrant caravan overwhelms Mexican authorities, moves on toward U.S.'",https://www.washingtontimes.com/news/2018/oct/21/migrant-caravan-pushes-into-mexico/
"October 22nd, 2018",b'Trump Says He Will Eliminate or Substantially Reduce Aid to Central American Countries Over Migrant Caravan',"President Trump said he will eliminate or ""substantially reduce"" aid to Guatemala, Honduras, and El Salvador over the migrant caravan that illegally crossed the Mexico border and is headed for the U.S. He has also blamed Democrats for not cooperating with his efforts to tighten immigration law.",Wall Street Journal - News,Center ,b'Trump Threatens to Cut Aid to Central American Nations Over Migrant Caravan',https://www.wsj.com/articles/trump-threatens-to-cut-aid-to-central-american-nations-over-migrant-caravan-1540217440
"October 18th, 2018",b'Trump Threatens Military Closure to US Mexico Border To Stop Migrants',President Trump says he would use the US military to close the US-Mexico border to stop a caravan of thousands of migrants.,Washington Post,Left ,"b'Trump threatens to summon military to close U.S.-Mexico border, upend trade deal in response to migrant caravan'",https://www.washingtonpost.com/politics/trump-threatens-to-summon-military-to-close-us-mexico-border-in-response-to-migrant-caravan/2018/10/18/d427b1dc-d2bd-11e8-83d6-291fcead2ab1_story.html
"October 18th, 2018",b'Trump Threatens Military Closure to US Mexico Border To Stop Migrants',President Trump says he would use the US military to close the US-Mexico border to stop a caravan of thousands of migrants.,Townhall,Right ,"b""Trump Threatens Military Action If Mexico Doesn't Stop Migrant Caravan""",https://townhall.com/tipsheet/leahbarkoukis/2018/10/18/trump-tweets-n2529683
"October 18th, 2018",b'Trump Threatens Military Closure to US Mexico Border To Stop Migrants',President Trump says he would use the US military to close the US-Mexico border to stop a caravan of thousands of migrants.,Bloomberg,Center ,b'Trump Threatens Military Closure at U.S. Border to Stop Migrants',https://www.bloomberg.com/news/articles/2018-10-18/trump-vows-military-will-close-mexican-border-to-stop-migrants
"October 1st, 2018",b'Hundreds of Migrant Children Reportedly Moved to Tent City in Texas',Hundreds of migrant children have reportedly been relocated from shelters and foster homes across the country to a tent city in West Texas.,New York Times (Online News),Left ,b'Migrant Children Moved Under Cover of Darkness to a Texas Tent City',https://www.nytimes.com/2018/09/30/us/migrant-children-tent-city-texas.html
"October 1st, 2018",b'Hundreds of Migrant Children Reportedly Moved to Tent City in Texas',Hundreds of migrant children have reportedly been relocated from shelters and foster homes across the country to a tent city in West Texas.,Washington Examiner,Right ,b'Hundreds of migrant children moved to Texas tent camp',https://www.washingtonexaminer.com/news/hundreds-of-migrant-children-moved-to-texas-tent-camp
"October 1st, 2018",b'Hundreds of Migrant Children Reportedly Moved to Tent City in Texas',Hundreds of migrant children have reportedly been relocated from shelters and foster homes across the country to a tent city in West Texas.,The Hill,Center ,b'Hundreds of young migrants moved to tent city: report',https://thehill.com/latino/409140-hundreds-of-young-migrants-moved-to-tent-city-report
"September 19th, 2018",b'Trump Administration Unable to Reach 1 488 Migrant Children Placed With Sponsors',"The Trump administration is reportedly unable to account for 1,488 migrant children who were placed with sponsors after crossing the border illegally, prompting lawmakers to introduce bipartisan legislation that would bolster the safety and security of minors who come the the U.S. unaccompanied. A spokeswoman for Health and Human Services said that the children in question ""are not lost"" and that ""their sponsors — who are usually parents or family members and in all cases have been vetted for criminality and ability to provide for them — simply did not respond or could not be reached when this voluntary call was made.”",New York Times (Online News),Left ,"b'U.S. Loses Track of Another 1,500 Migrant Children, Investigators Find'",https://www.nytimes.com/2018/09/18/us/politics/us-migrant-children-whereabouts-.html
"September 19th, 2018",b'Trump Administration Unable to Reach 1 488 Migrant Children Placed With Sponsors',"The Trump administration is reportedly unable to account for 1,488 migrant children who were placed with sponsors after crossing the border illegally, prompting lawmakers to introduce bipartisan legislation that would bolster the safety and security of minors who come the the U.S. unaccompanied. A spokeswoman for Health and Human Services said that the children in question ""are not lost"" and that ""their sponsors — who are usually parents or family members and in all cases have been vetted for criminality and ability to provide for them — simply did not respond or could not be reached when this voluntary call was made.”",Daily Mail,Right ,"b'Another 1,500 unaccompanied immigrant children have been lost under the Trump administration'",https://www.dailymail.co.uk/news/article-6186169/Another-1-500-unaccompanied-immigrant-children-lost-Trump-administration.html
"September 19th, 2018",b'Trump Administration Unable to Reach 1 488 Migrant Children Placed With Sponsors',"The Trump administration is reportedly unable to account for 1,488 migrant children who were placed with sponsors after crossing the border illegally, prompting lawmakers to introduce bipartisan legislation that would bolster the safety and security of minors who come the the U.S. unaccompanied. A spokeswoman for Health and Human Services said that the children in question ""are not lost"" and that ""their sponsors — who are usually parents or family members and in all cases have been vetted for criminality and ability to provide for them — simply did not respond or could not be reached when this voluntary call was made.”",The Hill,Center ,"b'Trump admin unable to account for another 1,500 migrant children: report'",https://thehill.com/latino/407355-trump-admin-unable-to-account-for-another-1500-migrant-children
"September 12th, 2018",b'Trump Admin Redirected 10M From FEMA to ICE',"The Trump administration redirected approximately $10 million from the Federal Emergency Management Agency to Immigration and Customs Enforcement to pay for immigration detention, according to documents shared by Democratic Sen. Jeff Merkley.",Washington Examiner,Right ,b'$10M redirected from FEMA funds to ICE less than a year after Hurricane Maria',https://www.washingtonexaminer.com/policy/budgets-deficits/10m-redirected-from-fema-funds-to-ice-less-than-a-year-after-hurricane-maria
"September 12th, 2018",b'Trump Admin Redirected 10M From FEMA to ICE',"The Trump administration redirected approximately $10 million from the Federal Emergency Management Agency to Immigration and Customs Enforcement to pay for immigration detention, according to documents shared by Democratic Sen. Jeff Merkley.",HuffPost,Left ,"b'Homeland Security Shifted $10 Million From FEMA For Immigrant Crackdown, Senator Says'",https://www.huffingtonpost.com/entry/dhs-fema-funding-hurricane-jeff-merkley_us_5b9880fee4b0162f4731ee03
"September 12th, 2018",b'Trump Admin Redirected 10M From FEMA to ICE',"The Trump administration redirected approximately $10 million from the Federal Emergency Management Agency to Immigration and Customs Enforcement to pay for immigration detention, according to documents shared by Democratic Sen. Jeff Merkley.",USA TODAY,Center ,"b""Trump administration took nearly $10 million from FEMA's budget to support ICE, documents show""",https://www.usatoday.com/story/news/politics/2018/09/11/femas-budget-cut-10-million-support-ice-documents-show/1274723002/
"August 23rd, 2018",b'Death of Mollie Tibbetts Sparks Debate on Immigration',"The death of University of Iowa student Mollie Tibbetts has reignited a national debate on illegal immigration after an undocumented immigrant was arrested for her murder. Many on the Right have said that the crime is an example of the country's failed immigration policy, while some on the Left have criticized the president for politicizing the event and point to multiple studies that claim illegal immigrants do not commit crimes at higher rates than native-born U.S. citizens.",HuffPost,Left ,"b'Trump Is Using Mollie Tibbetts For His Anti-Immigrant Agenda, And It\xe2\x80\x99s Reprehensible'",https://www.huffingtonpost.com/entry/opinion-mollie-tibbetts-trump_us_5b7ed217e4b072951510d3cb
"August 23rd, 2018",b'Death of Mollie Tibbetts Sparks Debate on Immigration',"The death of University of Iowa student Mollie Tibbetts has reignited a national debate on illegal immigration after an undocumented immigrant was arrested for her murder. Many on the Right have said that the crime is an example of the country's failed immigration policy, while some on the Left have criticized the president for politicizing the event and point to multiple studies that claim illegal immigrants do not commit crimes at higher rates than native-born U.S. citizens.",Fox News (Online),Right ,b'After Mollie Tibbetts tragic death \xe2\x80\x93 we owe it to her to fix our broken immigration system',http://www.foxnews.com/opinion/2018/08/23/after-mollie-tibbetts-tragic-death-owe-it-to-her-to-fix-our-broken-immigration-system.html
"August 23rd, 2018",b'Death of Mollie Tibbetts Sparks Debate on Immigration',"The death of University of Iowa student Mollie Tibbetts has reignited a national debate on illegal immigration after an undocumented immigrant was arrested for her murder. Many on the Right have said that the crime is an example of the country's failed immigration policy, while some on the Left have criticized the president for politicizing the event and point to multiple studies that claim illegal immigrants do not commit crimes at higher rates than native-born U.S. citizens.",Reuters,Center ,"b""Iowa student's murder thrust into U.S. debate over immigration""",https://www.reuters.com/article/us-iowa-crime/iowa-students-murder-thrust-into-us-debate-over-immigration-idUSKCN1L72BU
"August 20th, 2018",b'Trump Seeks to Rally Support for Immigration and Customs Enforcement',"President Trump encouraged local officials to express support for Immigration and Customs Enforcement (ICE) in a letter issued on Monday, criticizing the abolish ICE movement proposed by left-wing Democrats and claiming that the agency's elimination would lead to “terror, bloodshed and suffering”. Supporters of ICE argue that it is necessary to maintain strong borders, while opponents argue that its mission is too highly focused on deportation and needs to be reformed.",New York Post,Right ,"b'Trump implores state, local officials to publicly praise ICE'",https://nypost.com/2018/08/20/trump-implores-state-local-officials-to-publicly-praise-ice/
"August 20th, 2018",b'Trump Seeks to Rally Support for Immigration and Customs Enforcement',"President Trump encouraged local officials to express support for Immigration and Customs Enforcement (ICE) in a letter issued on Monday, criticizing the abolish ICE movement proposed by left-wing Democrats and claiming that the agency's elimination would lead to “terror, bloodshed and suffering”. Supporters of ICE argue that it is necessary to maintain strong borders, while opponents argue that its mission is too highly focused on deportation and needs to be reformed.",USA TODAY,Center ,"b""President Trump attacks critics of border agents, warns of 'bloodshed and suffering'""",https://www.usatoday.com/story/news/politics/2018/08/20/trump-backs-ice-open-letter-calls-local-cooperation/1042715002/
"August 20th, 2018",b'Trump Seeks to Rally Support for Immigration and Customs Enforcement',"President Trump encouraged local officials to express support for Immigration and Customs Enforcement (ICE) in a letter issued on Monday, criticizing the abolish ICE movement proposed by left-wing Democrats and claiming that the agency's elimination would lead to “terror, bloodshed and suffering”. Supporters of ICE argue that it is necessary to maintain strong borders, while opponents argue that its mission is too highly focused on deportation and needs to be reformed.",Los Angeles Times,Left ,"b""Trump sees political win in some Democrats' calls to abolish ICE""",http://www.latimes.com/politics/la-na-pol-trump-ice-20180820-story.html
"August 13th, 2018",b'Uncle of Stephen Miller Calls Him an Immigration Hypocrite in New Op ed',"The uncle of Trump aide Stephen Miller called his nephew an ""immigration hypocrite"" in a scathing op-ed for Politico, saying their family would have been ""wiped out"" had Miller's ideas on immigration been implemented at the time. Critics of the argument say that policy cannot be decided on the mere basis of family benefit.",Politico,Left ,b'Stephen Miller Is an Immigration Hypocrite. I Know Because I\xe2\x80\x99m His Uncle.',https://www.politico.com/magazine/story/2018/08/13/stephen-miller-is-an-immigration-hypocrite-i-know-because-im-his-uncle-219351
"August 13th, 2018",b'Uncle of Stephen Miller Calls Him an Immigration Hypocrite in New Op ed',"The uncle of Trump aide Stephen Miller called his nephew an ""immigration hypocrite"" in a scathing op-ed for Politico, saying their family would have been ""wiped out"" had Miller's ideas on immigration been implemented at the time. Critics of the argument say that policy cannot be decided on the mere basis of family benefit.",The Hill,Center ,"b'Stephen Miller\xe2\x80\x99s uncle calls Miller an \xe2\x80\x98immigration hypocrite,\xe2\x80\x99 compares Trump to Nazis'",http://thehill.com/blogs/blog-briefing-room/news/401510-stephen-millers-uncle-calls-miller-an-immigration-hypocrite
"August 13th, 2018",b'Uncle of Stephen Miller Calls Him an Immigration Hypocrite in New Op ed',"The uncle of Trump aide Stephen Miller called his nephew an ""immigration hypocrite"" in a scathing op-ed for Politico, saying their family would have been ""wiped out"" had Miller's ideas on immigration been implemented at the time. Critics of the argument say that policy cannot be decided on the mere basis of family benefit.",National Review,Right ,b'Immigration and the \xe2\x80\x98Hypocrisy\xe2\x80\x99 Charge',https://www.nationalreview.com/corner/stephen-miller-immigration-hypocrisy-charge/
"August 10th, 2018",b'U S Army Halts Discharges of Immigrant Recruits',The U.S. Army has halted its practice of discharging immigrants who enlisted under a program that promised a path to citizenship.,New York Post,Right ,"b'Immigrant recruits booted by the Army left facing deportation, death'",https://nypost.com/2018/08/09/immigrant-recruits-booted-by-the-army-left-facing-deportation-death/
"August 10th, 2018",b'U S Army Halts Discharges of Immigrant Recruits',The U.S. Army has halted its practice of discharging immigrants who enlisted under a program that promised a path to citizenship.,New York Times (Online News),Left ,b'Army Suspends Its Purge of Immigrant Recruits',https://www.nytimes.com/2018/08/09/us/mavni-program-army-discharge-immigrants.html
"August 10th, 2018",b'U S Army Halts Discharges of Immigrant Recruits',The U.S. Army has halted its practice of discharging immigrants who enlisted under a program that promised a path to citizenship.,NPR Online News,Center ,b'U.S. Army Stops Discharging Immigrant Recruits Seeking Citizenship',https://www.npr.org/2018/08/09/637147951/u-s-army-stops-discharging-immigrant-recruits-seeking-citizenship
"July 23rd, 2018",b'Trump Administration Reviews Cases of Immigrants Who May Have Used Fraudulent Documents During Naturalization Process',"The Trump administration is expanding the government’s deportation powers, telling the U.S. Citizenship and Immigration Services to review cases of naturalized immigrants who may have used fraudulent documents or who illegally took advantage of government assistance programs.",Washington Times,Right ,"b""Trump administration expands government's deportation powers""",https://www.washingtontimes.com/news/2018/jul/5/dhs-expands-power-initiate-deportations/
"July 23rd, 2018",b'Trump Administration Reviews Cases of Immigrants Who May Have Used Fraudulent Documents During Naturalization Process',"The Trump administration is expanding the government’s deportation powers, telling the U.S. Citizenship and Immigration Services to review cases of naturalized immigrants who may have used fraudulent documents or who illegally took advantage of government assistance programs.",New York Times (Online News),Left ,"b'Congratulations, You Are Now a U.S. Citizen. Unless Someone Decides Later You\xe2\x80\x99re Not.'",https://www.nytimes.com/2018/07/23/us/denaturalize-citizen-immigration.html
